type,pkt_count,mac,rssi,rate,noise_floor,channel,rx_local_timestamp_us,len,data,host_rx_us,host_rx_iso
CSI_DATA,9270,3c:dc:75:82:1e:a8,-24,11,-99,149,1540103096,234,"[18,-2,18,-1,19,1,20,2,20,2,19,3,22,4,21,5,21,6,21,6,23,8,21,8,23,8,22,9,19,10,20,10,21,9,21,11,22,10,22,11,20,11,20,11,20,10,23,11,21,12,21,9,20,9,19,12,20,12,22,10,22,10,27,14,25,12,24,13,24,12,23,10,24,8,28,10,26,10,26,9,27,9,29,9,28,9,31,12,30,12,31,9,30,7,31,9,29,9,33,9,35,10,31,10,32,11,36,12,37,8,34,8,38,9,0,0,0,0,0,0,10,-34,10,-35,7,-37,7,-32,7,-32,4,-32,8,-33,9,-35,5,-34,6,-32,6,-33,4,-28,4,-29,4,-31,4,-32,3,-28,4,-31,3,-29,4,-25,4,-26,2,-28,5,-26,2,-26,3,-26,3,-25,3,-24,2,-24,0,-25,3,-26,-1,-25,1,-21,1,-24,3,-25,0,-23,0,-24,4,-27,1,-24,1,-24,2,-25,2,-23,1,-23,2,-25,3,-24,2,-24,3,-24,2,-24,4,-21,5,-24,6,-23,5,-22,7,-22,6,-18,7,-18,10,-19,9,-18,9,-16,10,-14]",1776323385949557,2026-04-16T15:09:45.949
CSI_DATA,9271,3c:dc:75:82:1e:a8,-24,11,-99,149,1540116096,234,"[-11,-14,-10,-14,-8,-15,-9,-19,-9,-19,-6,-19,-6,-21,-6,-21,-6,-22,-5,-22,-3,-23,-5,-23,-5,-25,-4,-24,-2,-22,0,-22,-3,-23,0,-24,-1,-21,0,-21,1,-22,-1,-24,1,-23,-2,-23,2,-23,-1,-22,0,-25,1,-25,1,-23,-1,-23,-2,-25,1,-25,0,-25,1,-25,0,-28,-1,-29,0,-27,-4,-28,-2,-29,-2,-29,-3,-29,-5,-31,-1,-31,-3,-32,-3,-30,-5,-31,-2,-31,-6,-32,-5,-33,-2,-33,-5,-34,-5,-35,-4,-36,-2,-34,-6,-37,-3,-36,-5,-35,0,0,0,0,0,0,-36,6,-38,4,-36,6,-35,5,-38,5,-34,5,-34,7,-35,5,-33,6,-30,3,-30,4,-30,6,-33,7,-30,7,-32,5,-28,6,-29,8,-28,6,-28,5,-28,5,-27,8,-27,4,-23,7,-23,6,-23,4,-23,5,-24,3,-21,8,-24,4,-23,8,-23,6,-24,6,-22,5,-22,7,-20,6,-23,5,-22,6,-22,6,-23,6,-23,6,-23,4,-23,6,-25,4,-25,5,-23,3,-24,5,-24,2,-23,2,-23,0,-22,0,-23,-2,-20,-1,-21,-1,-19,-5,-19,-5,-17,-4,-18,-8]",1776323385960452,2026-04-16T15:09:45.960
CSI_DATA,9272,3c:dc:75:82:1e:a8,-24,11,-99,149,1540129096,234,"[-15,7,-15,8,-18,6,-19,6,-18,6,-20,2,-21,3,-20,2,-22,1,-23,1,-24,0,-23,0,-25,-1,-24,-1,-22,-4,-24,-4,-25,-3,-22,-5,-23,-4,-22,-4,-21,-7,-23,-7,-23,-5,-23,-6,-24,-8,-24,-4,-22,-5,-24,-7,-24,-8,-24,-6,-23,-5,-25,-8,-26,-8,-26,-8,-27,-9,-27,-6,-26,-5,-28,-5,-27,-7,-31,-6,-29,-4,-29,-4,-27,-6,-32,-6,-29,-7,-30,-5,-32,-6,-31,-5,-33,-6,-33,-8,-36,-7,-33,-6,-35,-8,-32,-8,-37,-7,-36,-7,-36,-7,0,0,0,0,0,0,-9,35,-8,36,-8,37,-7,34,-7,36,-5,34,-7,36,-8,33,-6,33,-7,32,-5,31,-6,29,-8,31,-6,29,-6,33,-4,29,-6,32,-4,30,-5,26,-6,25,-4,27,-7,27,-4,26,-5,26,-6,24,-5,24,-5,22,-3,24,-5,24,-2,24,-4,22,-4,24,-5,22,-3,23,-3,23,-7,24,-5,23,-4,25,-6,25,-7,22,-3,22,-5,23,-6,24,-5,24,-7,24,-7,25,-10,21,-9,23,-11,22,-9,20,-11,19,-11,17,-13,15,-15,17,-14,15,-13,13,-15,12]",1776323385972662,2026-04-16T15:09:45.972
CSI_DATA,9273,3c:dc:75:82:1e:a8,-24,11,-99,149,1540142097,234,"[-14,10,-16,10,-16,10,-20,9,-18,10,-19,8,-20,8,-20,10,-22,9,-21,8,-23,8,-21,8,-22,9,-23,8,-21,6,-22,7,-23,9,-23,7,-22,8,-20,6,-20,8,-20,9,-20,11,-22,9,-22,9,-20,11,-20,10,-24,10,-21,11,-21,14,-20,12,-24,13,-20,14,-20,14,-21,18,-21,18,-20,18,-21,19,-21,19,-20,20,-20,20,-20,24,-22,22,-18,25,-18,25,-18,26,-17,27,-15,28,-16,29,-18,30,-17,32,-16,31,-16,31,-16,29,-15,34,-16,34,-15,34,0,0,0,0,0,0,34,12,34,9,37,8,34,9,35,8,34,7,32,6,36,7,32,5,33,4,30,3,31,1,32,2,30,-1,31,0,31,-1,30,-3,28,-3,28,-3,28,-2,28,-6,27,-2,23,-7,25,-4,24,-4,23,-7,23,-7,23,-8,25,-7,23,-11,21,-7,24,-8,21,-7,20,-10,21,-11,24,-10,20,-11,19,-10,21,-13,20,-11,20,-13,20,-13,20,-12,20,-13,22,-12,21,-14,22,-11,20,-11,21,-10,19,-10,20,-10,18,-11,19,-9,20,-7,19,-6,18,-6,18,-3]",1776323385991515,2026-04-16T15:09:45.991
CSI_DATA,9274,3c:dc:75:82:1e:a8,-24,11,-99,149,1540155097,234,"[16,-7,15,-6,19,-5,19,-4,20,-4,20,-2,19,-1,21,0,24,0,23,1,23,2,22,3,24,2,25,5,22,6,21,7,24,6,23,8,22,6,21,8,20,8,23,8,21,8,22,8,22,11,22,8,21,10,22,11,21,11,23,9,23,10,23,14,23,12,23,13,24,12,25,11,24,10,26,11,26,13,27,11,27,12,28,11,27,13,30,14,26,13,27,14,29,13,29,15,30,15,31,18,31,14,33,15,31,19,31,19,34,18,33,19,34,19,0,0,0,0,0,0,21,-31,19,-31,20,-32,19,-27,19,-30,18,-28,20,-29,20,-28,18,-29,18,-25,18,-25,17,-24,18,-26,18,-26,20,-26,16,-24,16,-26,16,-24,18,-22,16,-22,14,-22,17,-21,15,-21,17,-20,17,-18,16,-18,15,-20,15,-20,16,-20,11,-20,14,-18,16,-18,16,-17,14,-18,15,-19,18,-19,17,-18,16,-16,17,-16,16,-16,17,-15,16,-17,18,-17,18,-17,19,-15,18,-15,18,-13,20,-15,19,-11,19,-9,20,-8,18,-8,20,-6,21,-4,20,-4,17,-4,19,-1]",1776323386010366,2026-04-16T15:09:46.010
CSI_DATA,9275,3c:dc:75:82:1e:a8,-24,11,-99,149,1540168097,234,"[15,-9,16,-7,18,-7,19,-6,18,-7,21,-7,20,-6,21,-6,24,-5,21,-4,24,-5,21,-5,23,-4,24,-4,23,-3,22,-3,24,-4,23,-3,23,-3,22,-2,23,-2,23,-3,23,-4,24,-6,25,-4,23,-6,22,-5,24,-5,22,-5,24,-8,23,-6,27,-6,25,-7,25,-8,26,-9,25,-9,25,-10,24,-14,26,-11,26,-14,26,-14,25,-16,26,-15,26,-16,27,-17,27,-17,26,-18,27,-19,27,-19,27,-20,27,-23,26,-23,28,-23,28,-21,27,-25,27,-25,28,-24,0,0,0,0,0,0,-25,-25,-26,-25,-28,-23,-27,-22,-27,-22,-28,-21,-28,-20,-27,-21,-26,-18,-25,-20,-25,-16,-26,-17,-28,-17,-25,-15,-26,-17,-26,-11,-27,-13,-27,-13,-23,-13,-25,-11,-26,-9,-25,-11,-24,-8,-24,-9,-23,-10,-23,-8,-23,-8,-24,-5,-23,-6,-24,-3,-23,-4,-23,-5,-23,-5,-23,-3,-22,-3,-25,-6,-23,-4,-22,-3,-24,-5,-22,-3,-24,0,-23,-2,-24,-3,-24,-2,-23,-3,-25,-2,-23,-3,-24,-4,-23,-5,-22,-4,-22,-6,-20,-6,-18,-6,-18,-7,-18,-7,-16,-7,-17,-9]",1776323386032446,2026-04-16T15:09:46.032
CSI_DATA,9276,3c:dc:75:82:1e:a8,-24,11,-99,149,1540181097,234,"[-17,5,-17,5,-18,4,-21,3,-21,2,-20,0,-21,-1,-21,-2,-24,-4,-23,-3,-23,-6,-22,-5,-23,-6,-22,-6,-20,-9,-20,-10,-23,-10,-20,-12,-22,-10,-21,-12,-19,-13,-21,-13,-20,-11,-21,-13,-20,-15,-20,-12,-18,-13,-18,-15,-19,-15,-20,-15,-19,-15,-20,-18,-20,-17,-19,-16,-20,-17,-20,-18,-21,-16,-22,-17,-23,-18,-22,-19,-21,-18,-23,-20,-19,-21,-25,-21,-21,-22,-22,-22,-22,-25,-24,-22,-23,-24,-25,-23,-27,-25,-23,-25,-22,-27,-22,-29,-26,-26,-24,-27,-24,-28,0,0,0,0,0,0,-29,22,-30,20,-30,20,-28,20,-30,18,-27,19,-29,19,-31,18,-30,19,-29,16,-29,16,-28,13,-27,15,-26,16,-30,14,-24,14,-28,15,-25,15,-24,11,-24,12,-23,14,-25,9,-23,11,-24,10,-23,8,-23,9,-23,8,-23,12,-24,8,-22,11,-21,8,-22,7,-23,6,-23,8,-21,7,-23,6,-24,5,-24,5,-24,5,-23,4,-22,5,-24,4,-26,3,-25,3,-23,1,-24,1,-23,-1,-25,-1,-22,-2,-22,-5,-22,-6,-20,-5,-20,-6,-18,-7,-19,-8,-17,-9,-15,-11]",1776323386050360,2026-04-16T15:09:46.050
CSI_DATA,9277,3c:dc:75:82:1e:a8,-24,11,-99,149,1540194097,234,"[-15,7,-17,9,-18,4,-21,4,-19,5,-20,4,-20,5,-20,4,-23,4,-21,3,-23,2,-24,3,-25,2,-23,2,-24,-1,-23,-1,-24,0,-23,-1,-22,-1,-22,-1,-23,-1,-22,-2,-22,1,-22,1,-25,-2,-24,3,-25,2,-25,0,-23,-1,-25,1,-25,1,-26,0,-27,2,-26,1,-27,2,-28,4,-25,7,-28,6,-28,5,-29,7,-28,8,-29,8,-29,6,-31,9,-30,9,-28,11,-30,11,-31,12,-33,11,-32,11,-34,12,-33,13,-33,13,-33,13,-34,15,-33,15,-33,14,0,0,0,0,0,0,13,35,15,33,17,32,17,30,17,29,17,31,17,30,16,34,17,29,16,28,17,27,17,25,18,27,20,24,18,25,19,23,19,26,18,24,17,23,16,22,19,21,17,23,18,19,17,19,16,19,15,18,19,18,18,16,17,18,20,15,18,16,17,18,16,17,18,17,17,15,17,16,18,15,18,15,17,16,19,15,18,12,19,15,20,16,19,15,17,16,20,16,14,16,18,17,17,17,15,17,15,17,14,16,11,17,12,18,9,17,8,16,8,16]",1776323386064955,2026-04-16T15:09:46.064
CSI_DATA,9278,3c:dc:75:82:1e:a8,-24,11,-99,149,1540207096,234,"[6,18,5,17,5,18,3,19,3,21,2,21,1,21,0,22,0,23,0,23,-2,24,-1,24,-1,25,-1,25,-4,22,-7,24,-3,23,-5,24,-3,22,-4,22,-5,23,-4,22,-4,26,-2,24,-5,24,-1,23,-5,23,-6,24,-4,22,-2,23,-2,24,-4,26,-3,26,-4,26,-3,27,-3,26,0,28,1,27,0,27,0,30,0,27,1,32,-1,30,2,31,2,29,2,31,2,32,3,33,4,32,3,34,3,34,6,34,1,36,3,37,7,38,5,35,6,37,0,0,0,0,0,0,36,-5,37,-6,35,-8,34,-6,35,-9,32,-6,34,-7,34,-8,32,-8,32,-6,30,-8,30,-8,30,-8,29,-10,30,-8,28,-10,29,-12,27,-11,25,-9,28,-9,26,-10,26,-8,21,-10,25,-9,23,-9,22,-9,24,-11,22,-13,22,-10,22,-12,19,-11,22,-10,22,-10,18,-11,20,-12,22,-11,21,-11,21,-11,22,-11,21,-10,21,-11,22,-10,22,-12,20,-12,22,-8,23,-11,21,-9,22,-11,22,-7,22,-7,22,-5,21,-5,19,-4,21,-3,20,-3,19,-1,18,2]",1776323386077628,2026-04-16T15:09:46.077
CSI_DATA,9279,3c:dc:75:82:1e:a8,-24,11,-99,149,1540220097,234,"[4,17,3,17,4,20,4,20,3,21,2,19,2,20,2,21,3,23,2,23,1,25,1,22,2,24,3,25,0,23,1,22,5,23,1,25,3,23,3,23,3,23,4,25,4,24,7,23,3,24,9,21,7,21,7,23,8,23,11,23,10,22,10,25,13,25,12,22,15,24,16,23,14,23,19,22,19,22,21,22,21,21,23,20,20,20,26,21,22,17,25,18,26,18,29,15,29,17,29,19,31,17,32,12,31,14,33,14,35,12,34,12,36,11,0,0,0,0,0,0,8,-36,8,-38,4,-36,3,-35,2,-36,1,-32,0,-35,0,-34,-2,-34,-2,-29,-3,-31,-4,-30,-6,-31,-7,-32,-7,-30,-10,-27,-11,-30,-11,-27,-8,-26,-10,-23,-13,-23,-12,-24,-12,-20,-12,-23,-11,-22,-14,-21,-16,-22,-16,-18,-14,-21,-16,-15,-16,-16,-15,-17,-16,-18,-17,-15,-18,-14,-17,-17,-18,-16,-19,-14,-20,-15,-19,-13,-18,-13,-20,-13,-21,-14,-21,-11,-19,-12,-23,-11,-19,-11,-23,-12,-19,-11,-19,-11,-19,-13,-18,-10,-17,-11,-16,-13,-16,-11,-16,-11,-12,-15]",1776323386092141,2026-04-16T15:09:46.092
