0.156614,0.340585,0.459950,0.523592,0.540394,0.519238,0.469005,0.398579,0.336488,0.280112,0.221480,0.142121,0.023219,-0.142359,-0.341873,-0.542750,-0.701447,-0.777620,-0.747780,-0.613137,-0.398913,-0.145745,0.103272,0.314988,0.473847,0.582664,0.656718,0.713310,0.760599,0.790482,0.779295,0.696817,0.520060,0.246065,-0.102031,-0.479049,-0.831495,-1.116088,-1.315304,-1.442266,-1.530747,-1.611577,-1.682872,-1.686591,-1.505871,-0.993675,-0.032471,1.390730,3.123605,4.836290,6.080594,6.415549,5.559419,3.507264,0.563262,-2.725215,-5.703922,-7.770380,-8.510827,-7.787740,-5.766022,-2.876266,0.279839,3.067993,4.975346,5.737137,5.390868,4.234446,2.704580,1.226636,0.094624,-0.581611,-0.858268,-0.891113,-0.854242,-0.874023,-0.995485,-1.184098,-1.354782,-1.413685,-1.296861,-0.993251,-0.546323,-0.037157,0.442094,0.813858,1.031998,1.086512,0.997447,0.802884,0.546660,0.269558,0.004754,-0.223515,-0.399413,-0.514150,-0.564537,-0.551898,-0.481519,-0.362454,-0.207344,-0.032055,0.144927,0.303601,0.424387,0.490860,0.492732,0.428424,0.306535,0.145530,-0.064229,-0.258519,-0.412613,-0.501785,-0.501306,-0.386451,-0.132492
0.306116,0.392743,0.445839,0.469679,0.468539,0.446694,0.408420,0.357993,0.303126,0.253717,0.199518,0.120535,-0.001580,-0.170256,-0.365625,-0.546575,-0.663803,-0.678623,-0.579050,-0.385845,-0.145941,0.083776,0.255593,0.345733,0.359828,0.328080,0.292574,0.291178,0.342978,0.439815,0.547212,0.615286,0.596479,0.463710,0.221605,-0.094496,-0.432231,-0.743271,-1.002263,-1.214137,-1.404622,-1.595802,-1.775638,-1.875225,-1.768141,-1.301105,-0.354404,1.083796,2.858230,4.635594,5.963902,6.396929,5.644766,3.690723,0.824424,-2.421863,-5.406018,-7.530255,-8.373911,-7.779284,-5.880901,-3.076955,0.054585,2.885513,4.888136,5.765865,5.517383,4.407215,2.854560,1.288319,0.026021,-0.785216,-1.159976,-1.218748,-1.116547,-0.983485,-0.892364,-0.855199,-0.841329,-0.805378,-0.713105,-0.556377,-0.353993,-0.140980,0.046941,0.186331,0.271670,0.313004,0.328305,0.334669,0.341925,0.350398,0.352569,0.337091,0.293489,0.216221,0.107421,-0.022001,-0.153350,-0.263650,-0.331180,-0.341401,-0.291397,-0.191460,-0.063157,0.065827,0.168622,0.225733,0.229269,0.183787,0.087134,-0.017611,-0.116572,-0.195874,-0.241640,-0.239994,-0.177060
0.157282,0.057516,-0.015146,-0.062108,-0.084769,-0.084533,-0.062802,-0.020976,0.063672,0.178107,0.293701,0.373632,0.384426,0.307789,0.148542,-0.064638,-0.286343,-0.467127,-0.567498,-0.568575,-0.475847,-0.314931,-0.121359,0.071202,0.239639,0.374307,0.476265,0.550908,0.600966,0.621904,0.602065,0.527868,0.391767,0.198979,-0.030787,-0.268521,-0.486956,-0.673224,-0.836832,-1.007071,-1.217330,-1.479361,-1.756428,-1.947960,-1.898018,-1.434433,-0.434815,1.098240,2.982055,4.850653,6.223002,6.635009,5.794414,3.698295,0.663597,-2.741469,-5.837052,-7.994081,-8.775333,-8.027414,-5.911323,-2.869004,0.470457,3.432367,5.457983,6.242254,5.800244,4.435126,2.620253,0.843715,-0.526001,-1.312715,-1.533893,-1.346862,-0.969143,-0.602183,-0.378975,-0.344167,-0.464468,-0.659222,-0.837080,-0.925900,-0.888655,-0.725062,-0.463308,-0.147504,0.174673,0.461535,0.682977,0.822091,0.873662,0.841167,0.734125,0.567060,0.359818,0.137380,-0.072740,-0.245599,-0.364479,-0.424555,-0.432938,-0.405053,-0.358838,-0.309145,-0.264237,-0.224865,-0.185350,-0.136134,-0.067710,0.024532,0.143747,0.262137,0.370069,0.457907,0.516016,0.534763,0.504511
0.098075,-0.515621,-0.835069,-0.911965,-0.798005,-0.544883,-0.204297,0.172059,0.454457,0.647403,0.706997,0.617766,0.396665,0.090425,-0.234229,-0.506263,-0.668283,-0.691526,-0.582860,-0.381107,-0.143786,0.070971,0.221122,0.291008,0.292907,0.260304,0.235264,0.253249,0.329310,0.449965,0.574403,0.646159,0.612491,0.444843,0.152055,-0.220186,-0.604745,-0.937720,-1.182107,-1.339502,-1.442845,-1.530590,-1.611269,-1.634206,-1.483621,-1.007498,-0.079942,1.320436,3.047208,4.772485,6.045217,6.415792,5.587938,3.538761,0.557070,-2.814572,-5.909928,-8.097060,-8.921959,-8.208601,-6.099094,-3.026805,0.376408,3.425473,5.549037,6.431138,6.078670,4.787797,3.023224,1.261139,-0.143401,-1.023975,-1.397758,-1.407588,-1.242857,-1.068676,-0.981825,-0.999072,-1.073108,-1.125064,-1.080708,-0.898912,-0.584876,-0.186049,0.225426,0.575877,0.810417,0.904558,0.865317,0.723964,0.524712,0.313330,0.127907,-0.007531,-0.086254,-0.118363,-0.125997,-0.134656,-0.162995,-0.214917,-0.277349,-0.324908,-0.329828,-0.273414,-0.154534,0.008095,0.180483,0.322906,0.401231,0.396702,0.283086,0.139418,-0.017666,-0.171533,-0.305547,-0.403074,-0.447478
0.241366,0.236417,0.209547,0.167926,0.118723,0.069107,0.026248,-0.002686,0.027974,0.101758,0.196914,0.279231,0.312577,0.271311,0.150411,-0.030830,-0.233650,-0.411848,-0.526361,-0.556516,-0.503610,-0.386125,-0.229592,-0.056322,0.120321,0.295181,0.465662,0.624797,0.756708,0.836662,0.836161,0.731822,0.515424,0.201680,-0.169932,-0.541979,-0.854549,-1.065377,-1.166877,-1.191181,-1.197102,-1.239875,-1.333395,-1.421328,-1.374169,-1.022375,-0.222496,1.062625,2.700709,4.377153,5.652887,6.086531,5.382418,3.507202,0.727246,-2.446876,-5.385104,-7.488668,-8.325729,-7.724354,-5.809058,-2.976068,0.190995,3.053690,5.073003,5.942879,5.656836,4.480642,2.842317,1.186093,-0.152486,-1.011073,-1.396597,-1.431386,-1.280084,-1.085901,-0.933461,-0.842165,-0.783561,-0.710839,-0.587716,-0.406609,-0.191054,0.016391,0.173975,0.258921,0.276061,0.253803,0.230091,0.235237,0.279407,0.349613,0.416248,0.445239,0.410593,0.303117,0.133334,-0.071111,-0.272121,-0.430238,-0.514323,-0.509623,-0.421897,-0.275867,-0.107864,0.045160,0.156226,0.214522,0.225171,0.203491,0.157111,0.106849,0.061878,0.031370,0.024498,0.050434,0.118351
0.337532,0.439899,0.491119,0.499707,0.474181,0.423058,0.354854,0.278087,0.215853,0.172422,0.136344,0.086998,0.006353,-0.109759,-0.246369,-0.373045,-0.454992,-0.466505,-0.400993,-0.273841,-0.117412,0.029718,0.135536,0.185130,0.185340,0.161724,0.148587,0.175216,0.253034,0.368776,0.487202,0.563121,0.558041,0.454454,0.261617,0.010242,-0.261636,-0.525304,-0.772723,-1.016459,-1.276206,-1.555441,-1.816832,-1.967970,-1.868700,-1.366675,-0.358100,1.142563,2.951647,4.714654,5.972904,6.290837,5.404153,3.330184,0.392772,-2.849210,-5.741004,-7.690572,-8.302875,-7.462864,-5.356627,-2.430349,0.706918,3.422232,5.211382,5.823196,5.311955,3.995125,2.331745,0.770610,-0.374364,-0.983522,-1.119046,-0.960218,-0.718328,-0.561873,-0.572374,-0.737558,-0.976241,-1.180665,-1.258892,-1.163125,-0.897691,-0.509177,-0.066712,0.358653,0.709232,0.948350,1.061156,1.050994,0.933910,0.733310,0.476108,0.191068,-0.091139,-0.338239,-0.519254,-0.610407,-0.601964,-0.502728,-0.339535,-0.151223,0.021098,0.144202,0.200149,0.189096,0.127441,0.042438,-0.035323,-0.080189,-0.084229,-0.062296,-0.012340,0.067691,0.179846,0.326176,0.508730
-0.041368,-0.031021,-0.019734,-0.006650,0.009091,0.028348,0.051981,0.080849,0.135283,0.207865,0.286958,0.349370,0.365554,0.309846,0.171901,-0.035836,-0.278401,-0.506757,-0.671304,-0.735237,-0.683061,-0.522206,-0.278833,0.009281,0.300229,0.554697,0.741592,0.841960,0.850326,0.773030,0.624381,0.422485,0.186788,-0.061948,-0.300732,-0.505618,-0.657525,-0.751742,-0.806112,-0.860730,-0.963997,-1.145976,-1.387706,-1.600801,-1.632059,-1.301337,-0.468537,0.889044,2.618699,4.384926,5.731634,6.206865,5.511729,3.616596,0.796850,-2.425149,-5.407568,-7.542070,-8.390880,-7.780662,-5.839366,-2.970890,0.230856,3.116865,5.139965,5.991012,5.667440,4.446090,2.770696,1.101177,-0.216504,-1.018832,-1.322576,-1.270000,-1.051888,-0.837186,-0.728118,-0.747031,-0.850507,-0.959931,-0.996198,-0.907893,-0.685770,-0.361272,0.007718,0.356754,0.632597,0.803797,0.862984,0.822645,0.707304,0.545003,0.360317,0.170175,-0.016852,-0.197636,-0.368691,-0.519897,-0.631264,-0.675581,-0.627047,-0.472746,-0.222059,0.090277,0.409338,0.672246,0.823805,0.830751,0.690481,0.431926,0.032208,-0.356100,-0.680757,-0.889524,-0.930162,-0.750430,-0.298089
0.095381,0.169936,0.218238,0.244124,0.251428,0.243985,0.225630,0.200199,0.187419,0.178801,0.165030,0.133100,0.072444,-0.019393,-0.133835,-0.252431,-0.351872,-0.411178,-0.418455,-0.374634,-0.292562,-0.191582,-0.089561,0.004325,0.092694,0.187209,0.300850,0.438355,0.588883,0.724390,0.805427,0.793263,0.664341,0.421429,0.096372,-0.258071,-0.585657,-0.847406,-1.037034,-1.182917,-1.332407,-1.521260,-1.738654,-1.903482,-1.867311,-1.452404,-0.520453,0.947348,2.789919,4.658464,6.081045,6.591788,5.884388,3.930909,1.017399,-2.316628,-5.409727,-7.636344,-8.548330,-7.971045,-6.039003,-3.166322,0.044544,2.941781,4.981925,5.862926,5.587085,4.428935,2.821511,1.208938,-0.077722,-0.883378,-1.223603,-1.229617,-1.073848,-0.904556,-0.807274,-0.797451,-0.837844,-0.868309,-0.835097,-0.710346,-0.498100,-0.228449,0.055283,0.310512,0.505947,0.626262,0.670799,0.648304,0.570950,0.450494,0.297639,0.123883,-0.055984,-0.222833,-0.354877,-0.431908,-0.440592,-0.378904,-0.258159,-0.101752,0.059385,0.193785,0.277180,0.298605,0.262549,0.186199,0.092905,0.004778,-0.091408,-0.164307,-0.200704,-0.187388,-0.111146,0.041234,0.282966
0.027646,0.104490,0.155461,0.184560,0.195786,0.193141,0.180624,0.162235,0.153513,0.151494,0.152176,0.147656,0.128121,0.084449,0.011272,-0.090226,-0.210738,-0.333355,-0.436578,-0.499115,-0.504687,-0.444847,-0.319101,-0.133528,0.100023,0.363151,0.629391,0.863911,1.026187,1.076525,0.985802,0.745872,0.376790,-0.072608,-0.532361,-0.926594,-1.193295,-1.303415,-1.272490,-1.158342,-1.041649,-0.992187,-1.030672,-1.101469,-1.071794,-0.766651,-0.036108,1.164033,2.709210,4.293550,5.487680,5.859834,5.121831,3.243338,0.487836,-2.642098,-5.526289,-7.573651,-8.355507,-7.699477,-5.729274,-2.843301,0.368479,3.259053,5.282597,6.131549,5.804264,4.576055,2.886245,1.189376,-0.171751,-1.032215,-1.402361,-1.414147,-1.246405,-1.057548,-0.943773,-0.927952,-0.974094,-1.016437,-0.990753,-0.857951,-0.614752,-0.291196,0.061666,0.388620,0.645906,0.810711,0.881981,0.873592,0.804103,0.688477,0.535524,0.351272,0.144919,-0.067300,-0.263093,-0.419356,-0.518735,-0.554414,-0.531404,-0.464305,-0.372737,-0.275940,-0.187944,-0.114354,-0.051754,0.009602,0.080134,0.164392,0.260908,0.350312,0.424911,0.477011,0.498919,0.482942,0.421385
-0.025771,0.178714,0.322467,0.413101,0.458230,0.465466,0.442424,0.396716,0.357694,0.316261,0.269670,0.206379,0.111597,-0.024333,-0.198589,-0.393197,-0.578252,-0.719497,-0.787099,-0.762651,-0.642826,-0.439484,-0.176797,0.113728,0.399138,0.650427,0.846002,0.972232,1.021305,0.988176,0.869199,0.664177,0.381271,0.041945,-0.318082,-0.654698,-0.927608,-1.114638,-1.221647,-1.281811,-1.341033,-1.431563,-1.542208,-1.598443,-1.466283,-0.987882,-0.045111,1.366759,3.084261,4.770834,5.980574,6.282833,5.408373,3.359912,0.440690,-2.810061,-5.748556,-7.780140,-8.493672,-7.749331,-5.706900,-2.791603,0.398169,3.227201,5.175641,5.965109,5.615314,4.408244,2.774519,1.149603,-0.144841,-0.958921,-1.307151,-1.315299,-1.150656,-0.961218,-0.838618,-0.808361,-0.842557,-0.885433,-0.880671,-0.791497,-0.608879,-0.348572,-0.041807,0.274589,0.564839,0.797062,0.944213,0.985515,0.909690,0.719449,0.435132,0.094949,-0.249730,-0.543571,-0.738683,-0.805069,-0.737226,-0.555184,-0.299691,-0.022661,0.224607,0.402135,0.488272,0.481878,0.399801,0.270652,0.126711,-0.003640,-0.122446,-0.212215,-0.259780,-0.251977,-0.175639,-0.017600,0.235306
