type,pkt_count,mac,rssi,rate,noise_floor,channel,rx_local_timestamp_us,len,data
CSI_DATA,63557,3c:dc:75:82:1e:a8,-25,11,-98,157,838218373,114,"[-20,-1,-20,-2,-21,-4,-21,-5,-21,-5,-21,-6,-20,-7,-20,-9,-22,-8,-22,-8,-22,-10,-23,-9,-23,-10,-23,-9,-23,-10,-25,-8,-26,-10,-28,-9,-27,-10,-29,-10,-30,-10,-31,-9,-31,-10,-32,-10,-35,-8,-33,-8,-33,-9,-34,-8,0,0,-35,-7,-36,-8,-34,-8,-35,-8,-35,-7,-35,-7,-35,-6,-32,-7,-33,-6,-33,-4,-32,-4,-30,-3,-29,-5,-28,-3,-29,-2,-27,-1,-28,-1,-28,-2,-26,-3,-25,-2,-26,-2,-25,-4,-25,-5,-24,-6,-26,-6,-24,-9,-22,-10,-20,-11]"
CSI_DATA,63558,3c:dc:75:82:1e:a8,-25,11,-98,157,838231352,114,"[-15,12,-18,12,-19,11,-20,9,-20,8,-20,6,-21,5,-22,5,-24,4,-24,2,-23,3,-24,1,-24,1,-27,0,-26,-1,-28,-1,-28,-1,-29,0,-29,-1,-31,-3,-32,-3,-33,-3,-33,-6,-33,-5,-34,-6,-35,-6,-35,-7,-35,-6,0,0,-35,-7,-36,-10,-35,-11,-36,-12,-33,-12,-34,-13,-32,-13,-31,-13,-31,-13,-31,-12,-29,-13,-28,-12,-27,-14,-25,-13,-25,-13,-24,-13,-24,-14,-25,-14,-22,-14,-23,-16,-21,-16,-18,-16,-18,-20,-16,-19,-16,-19,-13,-22,-9,-22,-7,-22]"
CSI_DATA,63559,3c:dc:75:82:1e:a8,-25,11,-98,157,838244352,114,"[-19,1,-20,1,-21,-1,-22,-3,-21,-4,-20,-4,-21,-5,-22,-6,-22,-6,-21,-7,-21,-7,-22,-8,-23,-7,-23,-8,-25,-7,-26,-7,-26,-7,-28,-8,-28,-8,-29,-7,-30,-10,-30,-9,-32,-9,-31,-9,-33,-7,-34,-7,-34,-8,-36,-7,0,0,-36,-8,-35,-8,-34,-7,-36,-6,-33,-8,-33,-7,-33,-8,-33,-7,-31,-8,-31,-6,-32,-3,-28,-5,-29,-5,-28,-5,-28,-5,-27,-3,-26,-4,-27,-5,-25,-4,-25,-6,-25,-3,-24,-7,-23,-7,-24,-7,-23,-9,-22,-10,-20,-12,-17,-12]"
CSI_DATA,63560,3c:dc:75:82:1e:a8,-25,11,-98,157,838257352,114,"[-17,-10,-18,-10,-18,-12,-19,-12,-18,-14,-19,-14,-18,-13,-18,-13,-18,-13,-19,-14,-18,-14,-20,-14,-21,-13,-23,-14,-22,-15,-26,-12,-25,-13,-27,-11,-28,-12,-29,-12,-29,-11,-30,-9,-32,-10,-32,-10,-35,-8,-34,-6,-36,-6,-36,-5,0,0,-36,-2,-38,-3,-35,-1,-36,-1,-35,0,-35,2,-35,2,-34,2,-33,3,-32,7,-30,6,-29,6,-30,6,-28,8,-27,9,-26,9,-25,11,-25,10,-24,10,-25,9,-25,10,-25,9,-24,9,-24,8,-24,8,-24,6,-24,3,-23,4]"
CSI_DATA,63561,3c:dc:75:82:1e:a8,-25,11,-98,157,838270352,114,"[-18,5,-19,4,-21,3,-22,1,-21,0,-22,-1,-23,-2,-22,-1,-22,-2,-23,-3,-23,-3,-23,-3,-25,-2,-25,-5,-25,-4,-27,-5,-28,-3,-29,-3,-29,-4,-30,-4,-30,-4,-31,-4,-33,-3,-33,-5,-34,-4,-33,-3,-34,-4,-34,-3,0,0,-36,-3,-36,-4,-35,-5,-36,-5,-34,-5,-33,-3,-33,-5,-33,-4,-33,-4,-32,-2,-30,-2,-28,-3,-29,-4,-28,-3,-28,-3,-27,-3,-26,-3,-26,-3,-25,-3,-26,-4,-26,-4,-25,-5,-24,-6,-24,-6,-24,-9,-22,-10,-20,-12,-17,-13]"
CSI_DATA,63562,3c:dc:75:82:1e:a8,-25,11,-98,157,838283352,114,"[-18,-8,-19,-9,-19,-10,-19,-10,-19,-11,-19,-10,-18,-12,-17,-11,-20,-11,-18,-13,-21,-11,-20,-13,-21,-13,-21,-14,-22,-12,-25,-11,-24,-11,-28,-9,-27,-9,-29,-10,-30,-10,-31,-8,-31,-9,-33,-7,-35,-9,-34,-8,-36,-8,-36,-5,0,0,-35,-5,-38,1,-34,-2,-36,-1,-34,0,-34,1,-34,1,-34,1,-33,3,-32,3,-30,5,-30,3,-29,4,-26,5,-28,8,-25,8,-26,8,-25,8,-25,8,-25,8,-24,9,-24,8,-24,6,-23,7,-25,4,-23,3,-23,1,-22,1]"
CSI_DATA,63563,3c:dc:75:82:1e:a8,-25,11,-98,157,838296352,114,"[-18,7,-19,7,-21,5,-21,4,-22,3,-21,3,-22,0,-21,0,-23,1,-23,-1,-23,0,-24,-1,-25,-1,-25,-3,-26,-2,-26,-2,-28,-1,-30,-1,-29,-1,-29,-1,-31,-1,-32,-1,-32,-2,-33,-1,-35,-2,-34,-3,-36,-4,-36,-3,0,0,-37,-2,-36,-2,-35,-3,-36,-3,-34,-3,-34,-3,-34,-4,-33,-5,-34,-3,-31,-2,-31,-2,-30,-3,-29,-4,-28,-4,-28,-3,-27,-3,-27,-2,-27,-3,-25,-3,-26,-5,-26,-5,-26,-5,-23,-8,-23,-9,-23,-10,-21,-11,-19,-12,-17,-15]"
CSI_DATA,63564,3c:dc:75:82:1e:a8,-25,11,-98,157,838309352,114,"[-16,-9,-17,-11,-18,-12,-17,-13,-17,-13,-17,-15,-16,-15,-16,-16,-17,-15,-16,-15,-17,-15,-18,-16,-19,-16,-21,-17,-21,-16,-22,-16,-22,-17,-25,-15,-24,-16,-26,-16,-27,-16,-29,-16,-29,-16,-29,-14,-32,-15,-32,-15,-33,-13,-33,-12,0,0,-34,-11,-34,-11,-35,-11,-34,-11,-34,-9,-34,-8,-33,-8,-34,-8,-32,-6,-31,-4,-31,-4,-30,-3,-30,-4,-27,-2,-29,0,-28,-1,-27,0,-26,1,-26,1,-25,0,-26,0,-26,0,-25,-1,-24,-2,-25,-2,-23,-4,-22,-7,-22,-7]"
CSI_DATA,63565,3c:dc:75:82:1e:a8,-25,11,-98,157,838322354,114,"[-20,-1,-20,-3,-20,-4,-20,-5,-20,-7,-21,-8,-20,-9,-20,-9,-21,-11,-19,-11,-21,-12,-20,-12,-21,-12,-22,-14,-22,-14,-23,-15,-23,-16,-25,-13,-25,-16,-26,-16,-26,-18,-27,-18,-27,-18,-28,-19,-29,-19,-28,-19,-30,-20,-29,-20,0,0,-28,-20,-30,-20,-28,-21,-29,-22,-28,-21,-28,-22,-27,-23,-24,-23,-26,-21,-26,-19,-25,-18,-24,-18,-22,-19,-20,-18,-22,-17,-21,-18,-19,-19,-20,-18,-18,-18,-19,-19,-18,-19,-16,-18,-15,-20,-15,-21,-13,-21,-10,-23,-8,-23,-7,-21]"
CSI_DATA,63566,3c:dc:75:82:1e:a8,-25,11,-98,157,838335352,114,"[-16,-11,-17,-11,-18,-13,-17,-14,-15,-15,-15,-15,-15,-17,-15,-15,-15,-17,-14,-17,-16,-17,-17,-17,-18,-18,-18,-17,-19,-19,-20,-18,-21,-18,-23,-18,-22,-18,-23,-19,-24,-19,-25,-19,-26,-19,-27,-21,-30,-19,-28,-17,-31,-19,-31,-17,0,0,-31,-16,-32,-16,-30,-16,-33,-17,-31,-15,-30,-14,-31,-15,-31,-14,-31,-12,-32,-12,-30,-9,-29,-9,-28,-9,-27,-9,-28,-8,-26,-6,-26,-6,-26,-5,-25,-6,-25,-7,-25,-6,-25,-7,-24,-8,-23,-7,-24,-8,-23,-10,-20,-12,-19,-12]"
